date,average_speed,average_watts,distance,total_elevation_gain,time_min,kmeans
2016-06-20,18.01,154.2,62.27,1806.6,249,2
2016-06-19,24.72,118.9,33.26,202.9,96,0
2016-06-18,24.01,123.8,55.5,624.7,157,0
2016-06-15,27.38,153.4,47.07,560.7,111,1
2016-06-11,22.17,136.2,86.8,1384.6,279,3
2016-06-10,27.64,169.7,80.74,830.7,184,3
2016-06-07,23.13,132.1,73.54,884.5,216,3
2016-06-05,24.09,126.6,120.2,1520.4,358,2
2016-06-05,25.79,122.7,28.26,124.9,68,1
2016-06-04,23.99,188.6,38.04,824.2,96,3
2016-06-02,24.48,131.0,35.62,434.6,89,0
2016-05-29,19.23,164.6,42.37,1317.6,208,0
2016-05-29,26.76,118.9,28.78,95.0,65,1
2016-05-28,24.57,161.3,55.4,813.4,147,3
2016-05-28,23.17,82.0,10.36,33.0,36,0
2016-05-27,22.97,131.2,70.3,1031.3,224,3
2016-05-26,24.54,111.5,26.68,310.4,65,0
2016-05-22,26.74,182.8,60.4,930.5,170,3
2016-05-21,23.01,158.9,62.9,1019.9,202,3
2016-05-20,28.05,154.6,45.45,465.0,100,1
2016-05-16,23.21,122.3,102.42,1502.9,288,2
2016-05-15,21.16,124.5,85.48,1530.4,273,2
2016-05-13,23.49,100.7,16.34,166.4,41,0
2016-05-11,25.15,118.3,27.39,317.3,66,1
2016-05-07,19.52,178.0,111.62,3205.1,426,2
2016-05-06,18.26,176.8,86.62,3334.1,366,2
2016-05-05,22.15,119.8,72.61,867.1,206,0
2016-05-04,23.36,101.5,40.02,432.7,104,0
2016-05-03,25.62,143.9,46.67,424.5,131,1
2016-04-30,23.16,126.4,71.54,884.6,202,0
2016-04-29,23.42,132.3,53.78,598.4,146,0
2016-04-24,24.72,110.9,84.64,711.8,219,0
2016-04-23,23.87,107.9,28.07,317.8,84,0
2016-04-22,26.34,111.6,53.15,197.1,128,1
2016-04-21,24.72,141.9,60.86,642.5,155,3
2016-04-20,23.6,113.2,22.91,269.4,69,0
2016-04-12,23.09,179.6,89.01,2163.2,319,2
2016-04-12,20.19,181.6,25.98,648.5,81,0
2016-04-10,23.56,154.3,46.43,840.2,192,3
2016-04-07,24.09,116.7,77.47,886.2,209,0
2016-04-04,24.54,118.0,58.73,708.8,148,0
2016-04-02,22.32,81.7,49.25,268.3,135,0
2016-03-30,22.78,83.7,63.93,343.4,182,0
2016-03-27,22.21,78.9,71.97,350.9,201,0
2016-03-26,23.57,125.1,46.3,443.8,120,0
2016-03-25,24.35,115.0,58.28,613.5,154,0
2016-03-25,21.87,100.0,27.34,326.7,76,0
2016-03-22,25.24,111.3,43.86,392.0,107,0
2016-03-21,22.04,105.5,62.34,766.6,186,0
2016-03-19,21.1,113.3,90.8,1396.9,298,2
2016-03-19,26.5,139.5,57.16,652.8,131,1
2016-03-18,23.31,111.3,36.49,495.0,97,0
2016-03-15,21.93,97.9,27.41,323.4,80,0
2016-03-13,19.53,109.8,99.7,1619.0,351,2
2016-03-12,22.45,102.5,48.43,551.2,137,0
2016-03-07,22.75,101.1,33.07,385.0,91,0
2016-03-06,25.21,122.3,77.29,392.6,193,0
2016-03-01,22.75,101.4,27.82,329.1,79,0
2016-02-29,24.77,97.8,53.27,223.8,136,0
2016-02-27,21.15,89.2,81.62,718.2,255,0
2016-02-27,24.34,111.3,37.19,413.8,99,0
2016-02-25,23.25,120.2,50.18,323.1,135,0
2016-02-22,20.4,176.3,100.51,2770.7,345,2
2016-02-21,22.57,151.9,70.26,1393.1,212,3
2016-02-19,19.6,96.9,29.32,380.3,102,0
2016-02-18,23.29,103.2,36.49,387.6,97,0
2016-02-14,20.99,158.8,100.31,2271.9,348,2
2016-02-12,25.83,126.0,92.3,558.4,248,3
2016-02-08,20.15,86.4,30.0,318.9,93,0
2015-09-12,16.85,70.3,67.72,377.3,343,0
