date,average_speed,average_watts,distance,total_elevation_gain,type,time_min
2017-07-12,28.26,122.0,25.28,126.0,Ride,54
2017-07-12,11.15,0.0,10.09,82.7,Run,62
2017-07-07,24.69,122.5,51.05,607.0,Ride,183
2017-07-06,29.45,136.1,24.22,109.0,Ride,49
2017-07-06,27.63,164.6,81.82,1193.0,Ride,218
2017-07-05,27.11,108.6,24.58,124.0,Ride,55
2017-07-05,10.51,0.0,18.29,182.6,Run,129
2017-07-04,28.33,121.4,24.21,110.0,Ride,51
2017-07-03,24.81,89.0,24.45,123.0,Ride,59
2017-07-02,27.99,159.6,110.74,1503.0,Ride,255
2017-07-01,7.39,0.0,21.42,924.0,Run,219
2017-06-30,7.89,0.0,7.4,276.8,Run,59
2017-06-29,27.55,134.5,83.68,600.0,Ride,314
2017-06-28,10.5,0.0,14.17,147.0,Run,104
2017-06-23,17.86,106.1,42.87,1269.0,Ride,165
2017-06-22,27.72,161.3,111.66,1463.0,Ride,281
2017-06-21,27.84,119.1,24.24,117.0,Ride,52
2017-06-21,9.96,0.0,18.04,361.3,Run,133
2017-06-20,21.34,100.7,63.62,1099.0,Ride,198
2017-06-17,10.72,0.0,6.44,89.4,Run,37
2017-06-16,25.42,139.1,85.93,1506.0,Ride,232
2017-06-11,29.01,154.7,155.29,1894.0,Ride,403
2017-06-10,23.28,110.0,146.81,2183.0,Ride,441
2017-06-10,24.53,116.3,42.43,609.0,Ride,108
2017-06-09,26.2,102.1,24.22,124.0,Ride,56
2017-06-08,28.54,161.4,96.21,1229.0,Ride,231
2017-06-07,21.74,66.5,25.27,134.0,Ride,71
2017-06-04,23.28,121.3,164.57,2917.0,Ride,494
2017-06-03,24.88,117.3,122.04,1157.0,Ride,524
2017-06-02,23.7,120.0,87.79,1403.0,Ride,366
2017-06-01,21.43,112.5,152.02,3133.0,Ride,572
2017-06-01,21.83,113.9,82.04,1410.0,Ride,263
2017-05-30,22.63,96.9,24.92,319.0,Ride,66
2017-05-29,27.37,111.9,24.34,130.0,Ride,54
2017-05-26,22.47,131.3,155.28,3562.0,Ride,551
2017-05-25,26.85,153.5,101.23,1545.0,Ride,256
2017-05-24,25.88,101.9,24.56,128.0,Ride,57
2017-05-24,9.33,0.0,18.46,383.9,Run,136
2017-05-21,21.93,136.3,102.13,2737.0,Ride,368
2017-05-20,23.64,111.7,84.54,1265.0,Ride,305
2017-05-18,28.51,167.2,102.18,1364.0,Ride,249
2017-05-17,9.93,0.0,19.78,198.1,Run,152
2017-05-16,23.28,111.5,70.54,1123.0,Ride,203
2017-05-15,25.87,105.1,25.28,178.0,Ride,60
2017-05-14,24.12,128.7,52.88,926.0,Ride,134
2017-05-13,23.09,134.9,91.83,2011.0,Ride,265
2017-05-13,22.7,104.4,32.48,503.0,Ride,87
2017-05-12,26.82,111.0,24.14,120.0,Ride,55
2017-05-11,29.59,181.8,102.23,1322.0,Ride,235
2017-05-10,24.05,114.4,90.02,1379.0,Ride,240
2017-05-06,24.56,121.6,103.5,1118.0,Ride,329
2017-05-06,23.07,129.7,83.33,1655.0,Ride,268
2017-05-04,25.8,149.6,84.32,1395.0,Ride,221
2017-05-03,26.02,106.1,24.85,132.0,Ride,60
2017-05-03,11.1,0.0,11.8,195.3,Run,80
2017-04-30,25.66,124.7,72.31,1328.0,Ride,468
2017-04-29,25.39,133.7,171.69,2647.0,Ride,601
2017-04-28,8.65,0.0,15.71,428.3,Run,123
2017-04-23,12.93,0.0,19.53,241.1,Run,90
2017-04-21,18.48,147.8,83.72,2660.8,Ride,334
2017-04-19,24.56,138.3,40.03,522.2,Ride,153
2017-04-18,22.33,161.5,101.35,2577.2,Ride,378
2017-04-17,22.72,176.2,85.87,2213.9,Ride,308
2017-04-16,24.61,174.9,110.06,2207.8,Ride,338
2017-04-14,11.21,0.0,24.75,261.9,Run,144
2017-04-12,10.79,0.0,16.8,157.9,Run,112
2017-04-09,27.95,184.8,145.07,2320.8,Ride,371
2017-04-08,22.83,161.3,84.93,2395.8,Ride,245
2017-04-06,26.59,187.8,68.56,1206.4,Ride,179
2017-04-05,10.19,0.0,16.92,268.6,Run,113
2017-04-04,25.92,165.9,28.1,366.3,Ride,65
2017-04-01,27.28,159.2,111.88,1490.6,Ride,269
2017-04-01,22.3,133.3,35.05,695.1,Ride,100
2017-03-30,25.86,171.2,77.29,1091.1,Ride,206
2017-03-29,24.26,108.8,23.92,82.6,Ride,78
2017-03-29,10.54,0.0,17.8,126.1,Run,124
2017-03-25,29.03,187.8,111.08,1522.0,Ride,270
2017-03-25,11.45,0.0,20.0,196.8,Run,109
2017-03-24,29.73,163.6,25.17,58.3,Ride,54
2017-03-23,26.11,128.6,23.62,83.5,Ride,56
2017-03-22,10.65,0.0,17.3,221.4,Run,124
2017-03-19,27.39,140.1,119.3,852.0,Ride,456
2017-03-18,25.69,141.9,92.39,1202.4,Ride,272
2017-03-17,11.88,0.0,18.23,75.9,Run,98
2017-03-17,23.22,135.5,27.91,368.1,Ride,74
2017-03-16,26.93,131.2,22.16,58.6,Ride,52
2017-03-15,30.45,170.2,23.77,89.7,Ride,49
2017-03-15,10.89,0.0,11.91,93.7,Run,107
