,average_speed,average_heartrate,average_watts,distance,elapsed_time,total_elevation_gain,type,commute,start_date_local
91,6.836,129.5,114.7,15510.3,0:44:00,151.0,VirtualRide,False,2018-01-18T19:54:17
92,7.541,136.0,118.1,18195.7,0:40:13,216.0,VirtualRide,False,2018-01-16T18:29:52
93,3.16,,,14400.8,1:18:00,121.9,Run,True,2018-01-15T17:09:17
94,6.343,117.6,110.9,45838.1,2:03:14,770.0,Ride,False,2018-01-14T13:01:25
95,7.637,122.3,109.8,105582.0,4:32:22,734.0,Ride,False,2018-01-13T11:54:01
96,2.873,,,7082.6,1:02:38,178.9,Run,False,2018-01-12T11:38:00
97,6.119,120.8,122.9,40738.9,1:56:40,632.0,Ride,False,2018-01-11T14:20:34
98,2.721,,,15120.3,1:39:15,149.5,Run,True,2018-01-10T18:17:01
99,7.085,128.0,128.5,54974.5,2:23:12,757.0,Ride,False,2018-01-07T11:32:54
100,8.076,138.5,130.3,76118.1,2:52:58,895.0,Ride,False,2018-01-06T10:26:16
101,2.35,133.5,,7953.4,1:22:06,203.8,Run,False,2018-01-05T11:49:50
102,7.536,137.6,108.6,31749.0,1:14:06,281.0,VirtualRide,False,2018-01-03T19:56:07
103,8.21,143.2,115.1,29998.4,1:01:57,147.0,VirtualRide,False,2018-01-02T16:49:51
104,2.591,170.5,,20988.3,2:20:52,823.7,Run,False,2018-01-01T09:47:38
105,2.17,112.0,,21039.6,3:27:37,857.7,Run,False,2017-12-31T11:11:07
106,2.141,133.1,,25417.9,4:15:41,1112.4,Run,False,2017-12-27T09:25:32
107,1.121,137.6,,12288.1,4:24:28,1389.8,Run,False,2017-12-24T11:26:51
108,2.17,151.9,,4457.8,0:40:04,234.4,Run,False,2017-12-21T10:58:17
109,3.081,155.7,,15022.0,1:25:03,133.1,Run,False,2017-12-20T14:47:37
110,3.014,139.5,,9129.7,0:55:10,126.4,Run,False,2017-12-18T16:25:52
111,2.102,131.5,,6722.4,0:58:42,270.6,Run,False,2017-12-16T10:46:59
112,2.734,149.2,,11319.1,1:14:22,109.6,Run,False,2017-12-14T18:46:01
113,2.768,133.5,,7019.8,0:45:58,58.6,Run,False,2017-12-12T16:08:39
114,2.439,172.7,,30439.0,3:27:59,1174.2,Run,False,2017-12-09T16:54:49
115,3.047,144.7,,9639.6,0:55:03,73.8,Run,False,2017-12-07T14:53:12
116,2.988,151.6,,12018.2,1:33:31,95.9,Run,False,2017-12-05T12:16:56
117,2.556,143.7,,16009.4,1:52:55,386.9,Run,False,2017-12-03T15:51:52
118,2.29,124.5,,18027.7,2:29:12,591.3,Run,False,2017-11-30T13:20:03
119,2.934,154.2,,12524.8,1:16:30,94.5,Run,False,2017-11-28T12:13:32
120,0.278,,,1000.0,1:00:00,0.0,Swim,False,2017-11-27T19:45:54
121,2.194,127.5,,28247.2,4:13:38,1177.4,Run,False,2017-11-26T11:10:54
122,2.876,139.5,,11059.7,1:27:05,107.1,Run,False,2017-11-23T11:43:48
123,1.95,140.8,,11773.2,1:57:41,632.0,Run,False,2017-11-22T14:13:12
124,3.126,,,10663.3,1:02:49,90.2,Run,False,2017-11-20T12:06:51
125,2.459,154.8,,18415.8,2:19:41,903.2,Run,False,2017-11-18T12:30:23
126,3.359,159.6,,9020.1,0:46:54,86.2,Run,False,2017-11-16T18:18:38
127,2.579,127.9,,5450.4,0:39:34,52.5,Run,False,2017-11-15T16:26:46
128,3.053,171.8,,10825.5,1:00:48,93.7,Run,False,2017-11-14T12:10:14
129,2.85,137.9,,20034.7,2:10:31,220.4,Run,False,2017-11-11T12:47:36
130,2.599,159.4,,7024.4,0:46:20,68.3,Run,False,2017-11-08T15:21:34
131,2.737,140.6,,6101.3,0:38:43,129.3,Run,False,2017-11-06T18:29:45
132,6.15,128.6,111.9,126178.0,6:19:53,2339.0,Ride,False,2017-11-03T10:10:35
133,2.659,130.3,,11189.9,1:22:09,174.7,Run,False,2017-11-01T12:29:51
134,2.847,148.6,,6255.6,0:36:57,105.3,Run,False,2017-10-30T17:13:40
135,5.418,124.6,98.8,80548.3,4:56:04,1420.0,Ride,False,2017-10-28T10:17:17
136,2.53,130.3,,6169.5,0:42:30,64.8,Run,False,2017-10-26T18:10:07
137,6.579,119.4,115.3,48274.7,2:13:00,785.0,Ride,False,2017-10-25T16:20:33
138,6.725,107.5,85.8,23585.4,0:58:27,120.0,Ride,True,2017-10-25T08:26:41
139,2.806,131.1,,18333.2,2:16:06,179.1,Run,False,2017-10-24T18:13:04
140,5.065,130.4,131.0,62390.4,3:43:19,2046.0,Ride,False,2017-10-21T11:46:09
141,5.972,136.3,142.4,98883.5,5:08:01,2602.0,Ride,False,2017-10-20T12:22:53
142,6.274,,121.5,68077.3,3:07:03,1299.0,Ride,False,2017-10-18T15:50:24
143,8.34,,145.7,24352.8,0:48:40,119.0,Ride,False,2017-10-18T07:48:48
144,6.154,,109.9,37180.3,1:41:54,639.0,Ride,False,2017-10-17T16:58:42
145,7.341,,102.3,24027.3,0:54:57,127.0,Ride,False,2017-10-17T08:12:55
146,5.922,,83.5,25930.7,1:21:53,304.0,Ride,False,2017-10-16T17:10:53
147,6.808,,87.2,23943.2,0:58:37,118.0,Ride,False,2017-10-16T08:14:48
148,5.529,,134.7,109162.0,7:17:53,3239.0,Ride,False,2017-10-15T10:33:45
149,7.292,,136.1,126375.0,5:26:15,1610.0,Ride,False,2017-10-14T11:25:18
150,3.772,158.4,188.9,14847.3,1:05:36,1095.2,Ride,False,2017-10-08T09:44:03
151,6.706,139.7,176.6,140521.0,5:53:51,3316.0,Ride,False,2017-10-07T07:42:45
152,6.995,150.2,188.4,99372.8,4:03:02,2278.0,Ride,False,2017-10-06T08:56:51
153,6.077,,104.4,32537.0,1:40:48,539.0,Ride,False,2017-10-04T17:51:24
154,5.939,,103.8,32601.2,1:33:53,569.0,Ride,False,2017-10-03T17:49:32
155,5.072,119.5,108.6,34814.0,2:02:02,1023.0,Ride,False,2017-10-01T11:39:59
156,4.944,122.2,108.2,49756.1,3:02:57,1382.0,Ride,False,2017-09-29T16:39:17
157,7.245,129.5,139.5,111426.0,4:37:05,1451.0,Ride,False,2017-09-27T16:20:25
158,2.64,135.7,,9723.7,1:01:23,135.3,Run,False,2017-09-25T20:38:59
159,7.357,133.5,147.8,144013.0,7:04:45,2352.0,Ride,False,2017-09-24T10:12:24
160,7.132,132.0,145.6,112270.0,5:07:06,1965.0,Ride,False,2017-09-23T12:20:50
161,6.883,137.4,145.7,89704.8,4:13:08,1575.0,Ride,False,2017-09-22T15:50:37
162,7.861,114.9,127.9,24203.4,0:53:32,122.0,Ride,False,2017-09-21T07:44:26
163,5.862,139.7,155.4,23792.1,1:11:22,692.0,Ride,False,2017-09-20T18:34:29
164,7.398,,111.6,24331.7,0:54:49,120.0,Ride,False,2017-09-20T08:03:59
165,8.125,124.3,155.3,109981.0,5:03:05,806.0,Ride,False,2017-09-18T09:30:24
166,6.279,139.3,129.1,131151.0,7:12:27,2874.0,Ride,False,2017-09-17T10:05:58
167,7.465,144.6,159.7,92325.8,3:37:20,1575.0,Ride,False,2017-09-16T13:57:49
168,7.672,150.7,166.2,70775.0,2:59:11,1039.0,Ride,False,2017-09-13T17:59:47
169,8.036,130.5,134.6,24188.9,0:52:00,118.0,Ride,False,2017-09-13T08:02:58
170,7.692,137.4,161.4,200052.0,7:54:23,2709.0,Ride,False,2017-09-10T08:07:05
171,6.796,130.7,129.7,124075.0,7:12:46,1965.0,Ride,False,2017-09-08T12:12:31
172,7.041,,91.5,23179.1,0:55:31,113.0,Ride,False,2017-09-07T18:32:17
173,7.76,,127.6,23466.7,0:50:24,119.0,Ride,True,2017-09-07T08:36:07
174,7.968,144.1,175.9,70026.7,2:56:50,1053.0,Ride,False,2017-09-06T17:55:08
175,7.455,,100.4,24101.2,0:53:53,127.0,Ride,False,2017-09-06T08:20:27
176,5.441,132.5,117.4,33971.4,1:50:41,884.0,Ride,False,2017-09-05T18:26:08
177,7.012,125.5,126.4,44568.2,1:49:50,636.0,Ride,False,2017-09-04T17:50:42
178,7.587,116.3,115.3,25157.5,0:56:18,126.0,Ride,False,2017-09-04T08:19:37
179,5.477,131.6,130.1,105499.0,6:30:03,3161.0,Ride,False,2017-09-03T10:22:22
180,5.549,132.0,141.3,21784.1,1:12:35,658.0,Ride,False,2017-09-02T11:06:19
181,7.069,135.3,141.2,60045.4,2:47:18,1006.0,Ride,False,2017-08-30T17:57:58
182,8.78,128.0,161.0,24398.7,0:48:10,117.0,Ride,True,2017-08-30T08:12:35
183,5.683,127.0,112.3,45682.6,2:26:01,1014.0,Ride,False,2017-08-29T17:41:22
184,6.205,,110.3,31777.6,1:28:05,560.0,Ride,False,2017-08-27T18:12:43
185,5.652,143.1,139.8,169907.0,8:33:40,4437.0,Ride,False,2017-08-26T06:51:35
186,7.389,,100.0,24059.2,0:54:16,109.0,Ride,False,2017-08-24T18:44:44
187,8.701,,159.6,24770.4,0:48:18,117.0,Ride,False,2017-08-24T08:09:10
188,7.082,142.5,147.1,70372.3,2:56:04,1177.0,Ride,False,2017-08-23T18:05:27
189,7.822,103.1,119.8,24279.6,0:53:30,108.0,Ride,False,2017-08-23T08:21:11
190,7.186,128.8,136.3,161989.0,6:51:34,2759.0,Ride,False,2017-08-20T11:10:57
191,5.871,129.3,128.8,52930.9,2:44:24,1396.0,Ride,False,2017-08-19T09:50:14
192,6.424,122.8,110.3,47645.5,2:08:36,760.0,Ride,False,2017-08-17T18:54:48
193,8.329,121.7,152.2,24387.0,0:50:45,146.0,Ride,True,2017-08-17T08:29:30
194,7.14,134.6,143.0,68413.5,3:12:10,1037.0,Ride,False,2017-08-16T17:53:54
195,8.173,119.0,148.2,24912.3,0:52:33,144.0,Ride,False,2017-08-16T08:22:54
196,5.671,124.5,121.8,36700.1,1:49:05,954.0,Ride,False,2017-08-15T18:44:06
197,6.074,,102.6,47176.3,2:15:11,803.0,Ride,False,2017-08-14T15:48:29
198,2.122,149.6,,30876.2,4:33:52,2253.4,Run,False,2017-08-13T09:43:27
199,3.002,130.2,,9633.6,0:53:53,126.0,Run,False,2017-08-10T19:50:27
200,8.391,142.5,190.6,86477.8,3:13:56,1215.0,Ride,False,2017-08-09T17:47:58
201,6.952,120.8,130.6,78935.7,3:29:58,1130.0,Ride,False,2017-08-07T17:56:07
202,8.342,121.1,143.9,24117.6,0:48:48,145.0,Ride,False,2017-08-07T08:06:20
203,6.667,134.3,141.6,112623.0,6:25:16,2288.2,Ride,False,2017-08-06T08:44:07
204,6.132,145.5,139.8,92140.5,5:00:04,2513.0,Ride,False,2017-07-29T11:18:55
205,8.547,139.2,187.1,105704.0,4:09:05,1210.0,Ride,False,2017-07-26T18:32:45
206,8.249,124.0,146.3,23938.2,0:49:38,112.0,Ride,False,2017-07-26T08:06:54
207,6.611,,111.9,38807.1,1:40:17,559.0,Ride,False,2017-07-20T19:20:01
208,7.053,139.7,150.0,60998.5,2:54:13,1191.0,Ride,False,2017-07-19T18:07:12
209,7.098,107.4,95.6,24432.2,0:57:41,118.0,Ride,False,2017-07-19T08:17:30
210,5.557,125.9,117.8,37186.7,1:56:56,1034.0,Ride,False,2017-07-18T18:38:55
211,6.711,110.6,112.9,25275.0,1:03:05,310.0,Ride,False,2017-07-17T18:49:01
212,5.881,139.4,140.3,89098.5,5:11:06,2338.0,Ride,False,2017-07-15T10:19:14
213,5.819,130.5,128.7,108322.0,6:49:29,2664.0,Ride,False,2017-07-14T09:45:42
